,순위,상품명,브랜드,조회수,좋아요 수,구매후기 수,평점,누적판매량
220,0.9511002444987775,스마일 :) 더비 R23M201 (핑크 스웨이드),로맨틱무브,4200.0,321,3,5.0,50.0
221,0.9508779728828629,여성 CLASSIC PLATFORM CLOG W WT (23SWCL206750),크록스,6500.0,933,39,4.9,200.0
222,0.9506557012669482,제라포트 2 샌들 Black,킨,1300.0,361,17,4.6,50.0
223,0.9504334296510336,WALLABEE 26155518,클락스,2300.0,124,5,4.6,50.0
224,0.9502111580351189,아카이브 스내플 로퍼 스웨이드 블랙 / 27425001,닥터마틴,5700.0,3180,115,4.8,300.0
225,0.9499888864192043,여성 페이턴트 레더 로퍼 - 화이트 / 1D902M069F0009,프라다,2300.0,232,0,0.0,0.0
226,0.9497666148032896,스탠스 스퀘어토 집업 부츠 R21M026 (블랙),로맨틱무브,1700.0,6718,2370,4.8,400.0
227,0.949544343187375,아이언 레인저 8086 - 차콜 러프앤터프,레드윙,1100.0,173,38,4.9,50.0
228,0.9493220715714603,버킷 슬라이드 (BLACK),디스커버리 익스페디션,2300.0,1817,779,4.9,900.0
229,0.9490997999555457,WTRD1104 올리버 4홀 골프더비슈즈 매트블랙 [240~290MM],위더로드,2000.0,5069,979,4.6,600.0
230,0.948877528339631,버킷 슬라이드 (KHAKI),디스커버리 익스페디션,4800.0,230,116,4.8,400.0
